Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
PL2024_1010_22U3198,17-May-2024,05:19:49,3,,,,0,7,,,,,,,,,,,,,,,15,28,812,,,,3,7918,,,,2,23557,,,,31,25477,,,,4,32314,,,,21,25055,,,,17,10676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,17-May-2024,13:43:07,2,,,,0,5,,,,,,,,,,,,,,,15,24,25077,,,,15,5825,,,,23,21890,,,,13,6447,,,,17,30324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,17-May-2024,15:27:39,1,,,,0,5,,,,,,,,,,,,,,,15,32,30038,,,,2,25613,,,,10,30319,,,,12,2602,,,,25,14774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,17-May-2024,17:12:57,1,,,,0,7,,,,,,,,,,,,,,,15,32,6079,,,,29,24000,,,,31,24616,,,,12,15459,,,,25,27342,,,,28,25113,,,,19,7374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,17-May-2024,18:03:56,2,,,,0,4,,,,,,,,,,,,,,,15,29,4630,,,,32,9187,,,,11,5767,,,,12,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,17-May-2024,21:41:46,5,,,,0,8,,,,,,,,,,,,,,,15,5,13455,,,,26,20286,,,,20,22968,,,,23,30301,,,,29,10708,,,,1,16171,,,,7,25680,,,,16,9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,18-May-2024,03:36:30,1,,,,0,5,,,,,,,,,,,,,,,15,3,4796,,,,32,16752,,,,2,20046,,,,14,16253,,,,22,21338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,18-May-2024,05:30:22,1,,,,0,6,,,,,,,,,,,,,,,15,17,24303,,,,19,13053,,,,3,12880,,,,2,14130,,,,4,31230,,,,9,20385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,18-May-2024,10:12:44,1,,,,0,5,,,,,,,,,,,,,,,15,30,31230,,,,5,17514,,,,20,15993,,,,14,3776,,,,7,26586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2024_1010_22U3198,18-May-2024,14:00:34,3,,,,0,6,,,,,,,,,,,,,,,15,10,14097,,,,15,21362,,,,23,16133,,,,24,27063,,,,14,14004,,,,21,7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
