DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
160375,160375,UT,DS,1,0,1,,,01:58:48 12-Dec-2016,NP,B,21.4062,-157.2061,21.4062,-157.2061,,,401677196,-131
160375,160375,UT,DS,1,0,0,,,03:03:30 12-Dec-2016,NK,B,21.1953,-156.9933,21.1953,-156.9933,7,,401677222,-127
160375,160375,UT,DS,1,0,0,,,05:24:49 12-Dec-2016,SR,B,21.1365,-156.9066,21.1365,-156.9066,8,,401677214,-131
160375,160375,UT,DS,1,0,0,,,01:38:34 13-Dec-2016,NP,B,21.1399,-156.9114,21.1399,-156.9114,,,401677216,-130
160375,160375,UT,DS,1,0,1,,,04:01:09 13-Dec-2016,NN,B,21.1456,-156.9219,21.1456,-156.9219,8,,401677220,-132
160375,160375,UT,DS,1,0,0,,,16:28:01 13-Dec-2016,NN,B,21.0604,-156.7755,21.0604,-156.7755,,,401677239,-127
160375,160375,UT,DS,1,0,1,,,21:01:12 13-Dec-2016,MB,B,21.0090,-156.8818,21.0090,-156.8818,8,,401677242,-134
160375,160375,UT,DS,1,0,1,,,03:43:04 14-Dec-2016,NN,B,20.9834,-156.8761,20.9834,-156.8761,8,,401677245,-133
160375,160375,UT,DS,1,0,1,,,06:02:15 14-Dec-2016,SR,B,21.0315,-156.9310,21.0315,-156.9310,8,,401677208,-129
160375,160375,UT,DS,1,0,1,,,16:25:27 14-Dec-2016,NK,B,21.0514,-157.0542,21.0514,-157.0542,8,,401677232,-128
160375,160375,UT,DS,2,0,2,50,50,13:49:08 16-Dec-2016,NP,B,21.0413,-157.0625,21.0413,-157.0625,,,401650000,-133
160375,160375,UT,DS,1,0,1,,,07:55:52 17-Dec-2016,MA,B,20.9190,-156.8438,20.9190,-156.8438,,,401677201,-123
160375,160375,UT,DS,2,0,2,91,91,13:28:11 17-Dec-2016,NP,B,21.0376,-156.6641,21.0376,-156.6641,8,,401677218,-129
160375,160375,UT,DS,1,0,1,,,15:05:51 17-Dec-2016,NK,B,21.0463,-156.6581,21.0463,-156.6581,8,,401677219,-137
160375,160375,UT,DS,1,0,1,,,16:48:52 17-Dec-2016,NK,B,21.0429,-156.6524,21.0429,-156.6524,8,,401677237,-122
160375,160375,UT,DS,1,0,1,,,17:27:30 17-Dec-2016,NN,B,21.0393,-156.6634,21.0393,-156.6634,8,,401677219,-123
160375,160375,UT,DS,1,0,1,,,07:30:00 18-Dec-2016,MA,B,21.0643,-156.6397,21.0643,-156.6397,,,401677215,-134
160375,160375,UT,DS,1,0,1,,,13:19:38 18-Dec-2016,NP,B,20.9853,-156.6712,20.9853,-156.6712,8,,401677221,-127
160375,160375,UT,DS,2,0,1,48,48,16:44:29 18-Dec-2016,SR,B,20.9224,-156.7072,20.9224,-156.7072,8,,401677199,-127
160375,160375,UT,DS,1,0,0,,,03:27:56 19-Dec-2016,SR,B,20.8411,-156.8335,20.8411,-156.8335,8,,401677221,-139
160375,160375,UT,DS,1,0,1,,,03:28:43 19-Dec-2016,NK,B,20.9475,-156.8578,20.9475,-156.8578,6,,401677252,-129
160375,160375,UT,DS,1,0,1,,,04:59:06 19-Dec-2016,SR,B,20.9368,-156.8663,20.9368,-156.8663,8,,401677251,-132
160375,160375,UT,DS,1,0,0,,,05:15:03 19-Dec-2016,NK,B,20.9519,-156.9528,20.9519,-156.9528,6,,401677221,-128
160375,160375,UT,DS,1,0,0,,,07:14:56 19-Dec-2016,MA,B,21.0119,-157.0127,21.0119,-157.0127,7,,401677245,-126
160375,160375,UT,DS,1,0,1,,,13:06:05 19-Dec-2016,NP,B,21.1433,-157.1306,21.1433,-157.1306,8,,401677245,-124
160375,160375,UT,DS,2,0,2,119,119,17:08:15 20-Dec-2016,NK,B,21.0883,-157.0662,21.0883,-157.0662,,,401677207,-126
160375,160375,UT,DS,1,0,1,,,21:07:02 20-Dec-2016,MA,B,21.0788,-157.0531,21.0788,-157.0531,8,,401677211,-135
160375,160375,UT,DS,1,0,1,,,03:57:21 21-Dec-2016,SR,B,21.0972,-157.0731,21.0972,-157.0731,8,,401677201,-131
160375,160375,UT,DS,1,0,1,,,07:57:02 22-Dec-2016,MA,,,,,,,,401650000,-135
160375,160375,UT,DS,1,0,1,,,03:43:47 23-Dec-2016,NN,,,,,,,,401650000,-137
160375,160375,UT,DS,1,0,1,,,05:15:00 23-Dec-2016,NK,,,,,,,,401650000,-131
160375,160375,UT,DS,1,0,1,,,16:19:37 23-Dec-2016,NN,,,,,,,,401650000,-135
160375,160375,UT,DS,1,0,0,,,17:24:14 23-Dec-2016,SR,,,,,,,,401650000,-132
160375,160375,UT,DS,2,0,2,307,307,17:37:55 23-Dec-2016,NK,B,20.9981,-156.7722,20.9981,-156.7722,,,401677209,-125
160375,160375,UT,DS,1,0,0,,,02:58:59 24-Dec-2016,NP,B,21.1381,-156.8791,21.1381,-156.8791,8,,401677215,-137
160375,160375,UT,DS,1,0,1,,,03:03:43 24-Dec-2016,NK,B,21.1306,-156.9046,21.1306,-156.9046,6,,401677186,-133
160375,160375,UT,DS,1,0,0,,,04:46:36 24-Dec-2016,NK,B,21.0228,-156.8193,21.0228,-156.8193,8,,401677244,-122
160375,160375,UT,DS,6,0,5,119,49,05:09:54 24-Dec-2016,NN,2,21.0563,-157.1492,21.0563,-157.1492,46,,401677216,-124
160375,160375,UT,DS,1,0,1,,,03:36:48 25-Dec-2016,SR,B,21.1770,-157.2056,21.1770,-157.2056,,,401677186,-136
160375,160375,UT,DS,2,0,2,108,108,05:12:04 25-Dec-2016,SR,B,21.2180,-157.1544,21.2180,-157.1544,7,,401677223,-127
160375,160375,UT,DS,1,0,0,,,06:00:39 25-Dec-2016,NK,B,21.2394,-157.1610,21.2394,-157.1610,6,,401677243,-133
160375,160375,UT,DS,2,0,2,62,62,13:37:13 25-Dec-2016,NP,B,21.2257,-157.1615,21.2257,-157.1615,8,,401677239,-130
160375,160375,UT,DS,1,0,0,,,17:36:18 25-Dec-2016,NN,B,21.2583,-157.1608,21.2583,-157.1608,8,,401677215,-130
160375,160375,UT,DS,1,0,0,,,04:49:33 26-Dec-2016,SR,B,21.3122,-157.1619,21.3122,-157.1619,8,,401677242,-132
160375,160375,UT,DS,3,0,2,96,58,04:51:21 26-Dec-2016,NN,A,21.2828,-157.1263,21.2828,-157.1263,8,,401677219,-125
160375,160375,UT,DS,1,0,1,,,05:36:54 26-Dec-2016,NK,B,21.2530,-157.2545,21.2530,-157.2545,8,,401677183,-127
160375,160375,UT,DS,1,0,1,,,06:24:08 26-Dec-2016,SR,B,21.1974,-157.4586,21.1974,-157.4586,5,,401677252,-132
160375,160375,UT,DS,1,0,0,,,15:51:39 26-Dec-2016,SR,B,21.2107,-158.3521,21.2107,-158.3521,8,,401677309,-130
160375,160375,UT,DS,1,0,1,,,16:19:51 26-Dec-2016,NK,B,21.2285,-158.4232,21.2285,-158.4232,6,,401677269,-127
160375,160375,UT,DS,1,0,1,,,00:40:26 27-Dec-2016,NP,B,21.3118,-158.3313,21.3118,-158.3313,8,,401677329,-132
160375,160375,UT,DS,1,0,0,,,13:11:32 27-Dec-2016,NP,B,21.1860,-159.7394,21.1860,-159.7394,,,401677370,-133
160375,160375,UT,DS,2,0,1,613,613,16:54:52 27-Dec-2016,SR,B,21.7440,-157.9355,17.7333,-178.0175,,,401677208,-136
160375,160375,UT,DS,1,0,0,,,17:05:05 27-Dec-2016,NN,B,21.7437,-157.9354,21.7437,-157.9354,6,,401677204,-133
160375,160375,UT,DS,1,0,1,,,17:11:03 30-Dec-2016,SR,,,,,,,,401650000,-133
160375,160375,UT,DS,1,0,1,,,14:08:34 31-Dec-2016,NP,,,,,,,,401650000,-129
160375,160375,UT,DS,1,0,1,,,18:01:24 31-Dec-2016,NN,,,,,,,,401650000,-127
160375,160375,UT,DS,1,0,0,,,08:01:02 05-Jan-2017,MA,,,,,,,,401650000,-120
160375,160375,UT,DS,3,0,2,192,166,04:18:28 06-Jan-2017,NN,A,20.9941,-156.8426,20.9941,-156.8426,,,401677214,-124
160375,160375,UT,DS,2,0,1,166,166,04:20:09 06-Jan-2017,NK,B,20.9970,-156.8428,20.9970,-156.8428,6,,401677217,-121
160375,160375,UT,DS,1,0,1,,,03:33:36 08-Jan-2017,NK,,,,,,,,401650000,-135
160375,160375,UT,DS,1,0,1,,,01:43:26 09-Jan-2017,NP,,,,,,,,401650000,-136
160375,160375,UT,DS,1,0,1,,,03:05:09 09-Jan-2017,NK,,,,,,,,401650000,-133
160375,160375,UT,DS,1,0,1,,,03:49:06 09-Jan-2017,NN,,,,,,,,401650000,-133
160375,160375,UT,DS,1,0,0,,,01:22:36 10-Jan-2017,NP,,,,,,,,401650000,-129
160375,160375,UT,DS,1,0,1,,,01:12:50 11-Jan-2017,NP,,,,,,,,401650000,-124
160375,160375,UT,DS,1,0,1,,,05:29:42 13-Jan-2017,SR,,,,,,,,401650000,-135
160375,160375,UT,DS,1,0,1,,,08:42:34 13-Jan-2017,MA,,,,,,,,401650000,-132
160375,160375,UT,DS,1,0,1,,,04:11:40 15-Jan-2017,NN,,,,,,,,401650000,-130
160375,160375,UT,DS,1,0,0,,,03:42:38 18-Jan-2017,NN,,,,,,,,401650000,-137
160375,160375,UT,DS,1,0,1,,,04:19:38 18-Jan-2017,NK,,,,,,,,401650000,-123
160375,160375,UT,DS,1,0,0,,,03:58:32 19-Jan-2017,SR,,,,,,,,401650000,-132
160375,160375,UT,DS,1,0,0,,,03:58:32 19-Jan-2017,NK,,,,,,,,401650000,-126
160375,160375,UT,DS,2,0,2,112,112,02:53:23 20-Jan-2017,NP,B,21.0538,-157.1935,21.0538,-157.1935,,,401677222,-130
160375,160375,UT,DS,1,0,1,,,03:25:10 20-Jan-2017,SR,B,21.0768,-157.1915,21.0768,-157.1915,8,,401677208,-135
160375,160375,UT,DS,1,0,1,,,03:34:28 20-Jan-2017,NK,B,21.0811,-157.1923,21.0811,-157.1923,6,,401677214,-130
160375,160375,UT,DS,2,0,2,51,51,17:08:59 21-Jan-2017,NK,B,21.3377,-157.2250,21.3377,-157.2250,,,401677170,-125
