DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
L651,264743,UT,20:42:42 09-May-2024,Argos,B,38.7780,-126.2128,6168,66891,568,116,,,,,,
L651,264743,UT,20:52:45 09-May-2024,Argos,B,38.7082,-126.1561,3223,14380,722,73,,,,,,
L651,264743,UT,05:00:00 10-May-2024,Argos,B,38.7798,-126.1877,3059,8226,1137,91,,,,,,
L651,264743,UT,05:00:00 10-May-2024,Argos,B,38.7816,-126.1808,3322,12832,859,94,,,,,,
L651,264743,UT,00:04:24 16-May-2024,Argos,B,40.4904,-128.2222,182027,,,,,,,,,
L651,264743,UT,02:46:46 16-May-2024,Argos,B,41.0975,-127.5546,64121,771876,5326,96,,,,,,
L651,264743,UT,02:59:11 16-May-2024,Argos,B,41.1134,-127.5900,8671,92035,816,96,,,,,,
L651,264743,UT,02:59:11 16-May-2024,Argos,B,41.1074,-127.5574,118480,456322,30762,97,,,,,,
L651,264743,UT,04:31:11 16-May-2024,Argos,B,41.3138,-127.4504,6794,25757,1792,97,,,,,,
L651,264743,UT,04:38:44 16-May-2024,Argos,A,41.2443,-127.7667,3539,19257,650,142,,,,,,
L651,264743,UT,05:13:29 16-May-2024,Argos,B,41.3181,-127.7187,7314,9195,5816,112,,,,,,
L651,264743,UT,05:22:30 16-May-2024,Argos,B,41.3090,-127.7249,23240,112863,4785,33,,,,,,
L651,264743,UT,05:32:18 16-May-2024,Argos,B,41.1878,-127.7990,1064,8028,140,75,,,,,,
L651,264743,UT,06:12:34 16-May-2024,Argos,A,41.2549,-127.8723,1227,6424,234,134,,,,,,
L651,264743,UT,06:49:59 16-May-2024,Argos,B,41.3265,-127.8579,3769,5215,2722,107,,,,,,
L651,264743,UT,06:49:59 16-May-2024,Argos,B,41.3153,-127.8457,2649,3284,2136,99,,,,,,
L651,264743,UT,08:35:12 16-May-2024,Argos,B,41.5212,-127.8146,3892,4898,3092,94,,,,,,
L651,264743,UT,08:35:12 16-May-2024,Argos,B,41.5211,-127.7992,3887,4935,3061,88,,,,,,
L651,264743,UT,12:10:31 16-May-2024,Argos,B,41.3299,-127.8227,3804,5284,2737,69,,,,,,
L651,264743,UT,13:33:26 16-May-2024,Argos,B,41.4130,-127.8075,3134,8641,1136,91,,,,,,
L651,264743,UT,13:51:02 16-May-2024,Argos,B,41.3839,-127.8490,1585,18424,136,116,,,,,,
L651,264743,UT,15:09:16 16-May-2024,Argos,B,41.4776,-127.8482,1888,4660,764,112,,,,,,
L651,264743,UT,15:09:16 16-May-2024,Argos,B,41.4181,-127.8547,1711,4991,586,90,,,,,,
L651,264743,UT,15:31:57 16-May-2024,Argos,B,41.4519,-127.8456,1729,5790,516,93,,,,,,
L651,264743,UT,15:41:47 16-May-2024,Argos,B,41.4290,-127.8979,1471,2590,835,119,,,,,,
L651,264743,UT,16:47:43 16-May-2024,Argos,B,41.4963,-127.8975,1615,15462,168,157,,,,,,
L651,264743,UT,16:54:34 16-May-2024,Argos,B,41.4689,-127.8909,2552,14643,444,170,,,,,,
L651,264743,UT,17:56:14 16-May-2024,Argos,B,41.5297,-127.8990,861,4111,180,57,,,,,,
L651,264743,UT,18:33:37 16-May-2024,Argos,B,41.5082,-127.9535,2723,16373,452,101,,,,,,
L651,264743,UT,19:09:39 16-May-2024,Argos,B,41.5305,-127.9672,2915,5606,1515,97,,,,,,
L651,264743,UT,19:21:59 16-May-2024,Argos,B,41.5009,-127.9572,2974,8360,1057,93,,,,,,
L651,264743,UT,19:33:47 16-May-2024,Argos,B,41.5115,-127.9536,1956,6755,566,98,,,,,,
L651,264743,UT,20:18:08 16-May-2024,Argos,B,41.5489,-127.8967,6376,14481,2807,110,,,,,,
L651,264743,UT,20:30:50 16-May-2024,Argos,B,41.5545,-127.8955,4944,9942,2458,109,,,,,,
L651,264743,UT,22:16:24 16-May-2024,Argos,B,41.5643,-127.8933,6054,26157,1401,104,,,,,,
L651,264743,UT,17:59:11 17-May-2024,Argos,B,41.5485,-128.0229,6446,7878,5273,135,,,,,,
L651,264743,UT,06:32:38 18-May-2024,Argos,B,41.9608,-127.9857,18200,43011,7701,171,,,,,,
L651,264743,UT,14:13:17 18-May-2024,Argos,B,42.1389,-127.9722,13757,23803,7950,0,,,,,,
L651,264743,UT,20:40:40 18-May-2024,Argos,B,42.5484,-128.0679,10413,39238,2763,77,,,,,,
L651,264743,UT,03:03:20 19-May-2024,Argos,B,42.6582,-128.2611,9287,32034,2692,90,,,,,,
L651,264743,UT,12:27:48 19-May-2024,Argos,B,42.9217,-128.2980,9578,24250,3782,77,,,,,,
L651,264743,UT,15:31:03 19-May-2024,Argos,B,42.8505,-128.3833,10921,21529,5539,69,,,,,,
L651,264743,UT,15:31:03 19-May-2024,Argos,B,42.8010,-128.3756,13638,78741,2362,79,,,,,,
L651,264743,UT,18:55:25 19-May-2024,Argos,B,42.8011,-128.7304,10666,36827,3088,102,,,,,,
L651,264743,UT,04:59:59 20-May-2024,Argos,B,42.7543,-128.9894,12731,24136,6715,102,,,,,,
L651,264743,UT,22:28:58 20-May-2024,Argos,B,43.1556,-128.9447,4030,11029,1472,85,,,,,,
L651,264743,UT,07:31:50 21-May-2024,Argos,B,43.1113,-127.8201,16900,158991,1796,101,,,,,,
L651,264743,UT,18:30:35 21-May-2024,Argos,B,43.2058,-128.2094,41140,342887,4935,106,,,,,,
L651,264743,UT,18:30:35 21-May-2024,Argos,B,43.5843,-128.5452,60004,332138,10840,89,,,,,,
L651,264743,UT,21:33:13 21-May-2024,Argos,B,43.6164,-128.6354,59653,214889,16559,89,,,,,,
L651,264743,UT,04:14:03 22-May-2024,Argos,B,43.7838,-128.7754,58566,293233,11697,85,,,,,,
L651,264743,UT,00:22:20 23-May-2024,Argos,B,44.0835,-129.1359,69684,115308,42112,94,,,,,,
L651,264743,UT,01:57:50 23-May-2024,Argos,B,44.1869,-129.3665,4213,33325,532,60,,,,,,
L651,264743,UT,03:15:21 23-May-2024,Argos,B,44.2364,-129.4264,5514,13360,2275,64,,,,,,
L651,264743,UT,04:02:55 23-May-2024,Argos,B,44.2398,-129.5075,4414,10799,1804,91,,,,,,
L651,264743,UT,04:49:31 23-May-2024,Argos,B,44.2443,-129.5175,6178,16339,2335,114,,,,,,
L651,264743,UT,05:00:01 23-May-2024,Argos,B,44.2900,-129.5358,1344,4615,391,95,,,,,,
L651,264743,UT,05:27:45 23-May-2024,Argos,B,44.2435,-129.5217,2661,7375,960,106,,,,,,
L651,264743,UT,05:46:08 23-May-2024,Argos,B,44.2504,-129.5414,2213,4550,1076,99,,,,,,
L651,264743,UT,06:20:45 23-May-2024,Argos,B,44.2603,-129.5643,2254,5767,881,95,,,,,,
L651,264743,UT,06:32:14 23-May-2024,Argos,B,44.2638,-129.5388,2422,6748,869,97,,,,,,
L651,264743,UT,07:09:45 23-May-2024,Argos,B,44.2785,-129.4364,2432,12726,464,154,,,,,,
L651,264743,UT,07:18:53 23-May-2024,Argos,B,44.3344,-129.4578,2281,3591,1449,139,,,,,,
L651,264743,UT,08:05:35 23-May-2024,Argos,B,44.3537,-129.4489,2666,3438,2067,109,,,,,,
L651,264743,UT,09:49:41 23-May-2024,Argos,B,44.4007,-129.4273,4374,6507,2940,101,,,,,,
L651,264743,UT,17:09:11 23-May-2024,Argos,B,44.4349,-129.4139,1150,6220,212,148,,,,,,
L651,264743,UT,17:51:31 23-May-2024,Argos,B,44.4722,-129.4216,2370,6822,823,152,,,,,,
L651,264743,UT,18:09:15 23-May-2024,Argos,B,44.4665,-129.4330,1187,10466,134,121,,,,,,
L651,264743,UT,19:20:54 23-May-2024,Argos,2,44.5169,-129.4828,254,651,99,96,,,,,,
