DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J612,264751,UT,,,,,,,17:31:19 25-Jun-2024,,,1355,,,,,,53,192,13.00,7.10,234
J612,264751,UT,,,,,,,17:31:19 25-Jun-2024,0,17:31:19 25-Jun-2024,79,0,90,437,0,65,,,,,
J612,264751,UT,,,,,,,17:31:19 25-Jun-2024,1,17:32:38 25-Jun-2024,61,90,128,267,0,,,,,,
J612,264751,UT,,,,,,,17:31:19 25-Jun-2024,2,17:33:39 25-Jun-2024,710,128,368,1190,0,,,,,,
J612,264751,UT,,,,,,,17:31:19 25-Jun-2024,3,17:45:29 25-Jun-2024,113,368,241,2088,0,,,,,,
J612,264751,UT,,,,,,,17:31:19 25-Jun-2024,4,17:47:22 25-Jun-2024,158,241,0,3084,0,-56,,,,,
J612,264751,UT,B,50.3285,-128.3351,,,,01:22:37 26-Jun-2024,,,1163,,,,,,116,197,13.00,6.90,120
J612,264751,UT,B,50.3285,-128.3351,,,,01:22:37 26-Jun-2024,0,01:22:37 26-Jun-2024,293,0,384,1689,1,72,,,,,
J612,264751,UT,B,50.3285,-128.3351,,,,01:22:37 26-Jun-2024,1,01:27:30 26-Jun-2024,74,384,512,432,0,,,,,,
J612,264751,UT,B,50.3285,-128.3351,,,,01:22:37 26-Jun-2024,2,01:28:44 26-Jun-2024,122,512,608,1336,1,,,,,,
J612,264751,UT,B,50.3285,-128.3351,,,,01:22:37 26-Jun-2024,3,01:30:46 26-Jun-2024,244,608,424,4714,16,,,,,,
J612,264751,UT,B,50.3285,-128.3351,,,,01:22:37 26-Jun-2024,4,01:34:50 26-Jun-2024,310,424,0,4989,1,-39,,,,,
J612,264751,UT,,,,,,,15:53:59 27-Jun-2024,,,1055,,,,,,23,37,12.60,5.90,94
J612,264751,UT,,,,,,,15:53:59 27-Jun-2024,0,15:53:59 27-Jun-2024,270,0,304,4426,12,55,,,,,
J612,264751,UT,,,,,,,15:53:59 27-Jun-2024,1,15:58:29 27-Jun-2024,233,304,312,3869,25,,,,,,
J612,264751,UT,,,,,,,15:53:59 27-Jun-2024,2,16:02:22 27-Jun-2024,203,312,220,2753,8,,,,,,
J612,264751,UT,,,,,,,15:53:59 27-Jun-2024,3,16:05:45 27-Jun-2024,75,220,212,941,0,,,,,,
J612,264751,UT,,,,,,,15:53:59 27-Jun-2024,4,16:07:00 27-Jun-2024,180,212,0,3311,5,-21,,,,,
J612,264751,UT,B,50.8601,-129.4941,,,,02:31:36 28-Jun-2024,,,1258,,,,,,252,101,12.70,6.50,154
J612,264751,UT,B,50.8601,-129.4941,,,,02:31:36 28-Jun-2024,0,02:31:36 28-Jun-2024,233,0,336,1756,0,76,,,,,
J612,264751,UT,B,50.8601,-129.4941,,,,02:31:36 28-Jun-2024,1,02:35:29 28-Jun-2024,147,336,512,1873,8,,,,,,
J612,264751,UT,B,50.8601,-129.4941,,,,02:31:36 28-Jun-2024,2,02:37:56 28-Jun-2024,86,512,544,2107,14,,,,,,
J612,264751,UT,B,50.8601,-129.4941,,,,02:31:36 28-Jun-2024,3,02:39:22 28-Jun-2024,233,544,480,3687,3,,,,,,
J612,264751,UT,B,50.8601,-129.4941,,,,02:31:36 28-Jun-2024,4,02:43:15 28-Jun-2024,405,480,0,7432,17,-35,,,,,
J612,264751,UT,B,50.7977,-129.7250,,,,06:07:55 28-Jun-2024,,,845,,,,,,254,67,12.60,6.20,120
J612,264751,UT,B,50.7977,-129.7250,,,,06:07:55 28-Jun-2024,0,06:07:55 28-Jun-2024,278,0,236,3538,19,49,,,,,
J612,264751,UT,B,50.7977,-129.7250,,,,06:07:55 28-Jun-2024,1,06:12:33 28-Jun-2024,96,236,360,892,3,,,,,,
J612,264751,UT,B,50.7977,-129.7250,,,,06:07:55 28-Jun-2024,2,06:14:09 28-Jun-2024,90,360,256,1560,1,,,,,,
