DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
160381,160381,UT,21:44:27 28-Oct-2017,Argos,2,24.3923,-166.7486,314,441,223,172,,,,,,
160381,160381,UT,17:35:49 02-Nov-2017,Argos,B,24.0317,-166.3745,8559,122093,600,33,,,,,,
160381,160381,UT,18:32:08 02-Nov-2017,Argos,B,23.9800,-166.3969,6794,10340,4464,49,,,,,,
160381,160381,UT,21:40:36 02-Nov-2017,Argos,3,23.9694,-166.4037,167,234,119,154,,,,,,
160381,160381,UT,17:09:14.96 04-Nov-2017,FastGPS,,23.9116,-166.2530,,,,,,,,,,
160381,160381,UT,17:44:05 05-Nov-2017,Argos,B,23.9964,-166.5235,3296,39340,276,82,,,,,,
160381,160381,UT,18:54:38 05-Nov-2017,Argos,1,23.9947,-166.6204,574,1017,323,15,,,,,,
160381,160381,UT,20:15:16.86 05-Nov-2017,FastGPS,,23.9960,-166.6362,,,,,,,,,,
160381,160381,UT,20:15:37 05-Nov-2017,Argos,1,23.9963,-166.6453,1085,1502,783,23,,,,,,
160381,160381,UT,21:57:45 06-Nov-2017,Argos,B,24.0596,-166.2385,6492,34100,1235,69,,,,,,
160381,160381,UT,00:07:25.13 07-Nov-2017,FastGPS,,24.0835,-166.0798,,,,,,,,,,
160381,160381,UT,20:57:48 07-Nov-2017,Argos,B,23.9326,-166.5655,15646,19196,12752,71,,,,,,
160381,160381,UT,20:52:25 12-Nov-2017,Argos,B,24.1039,-166.1874,11121,,,,,,,,,
160381,160381,UT,01:25:14 13-Nov-2017,Argos,B,24.0388,-166.0521,7781,46463,1303,94,,,,,,
160381,160381,UT,18:45:11 13-Nov-2017,Argos,B,23.9329,-166.0356,10181,26805,3866,91,,,,,,
160381,160381,UT,18:54:33 13-Nov-2017,Argos,A,23.8783,-166.2292,2509,11658,540,0,,,,,,
160381,160381,UT,01:17:29 14-Nov-2017,Argos,B,23.9002,-166.2672,5493,7709,3914,53,,,,,,
160381,160381,UT,18:35:53.83 14-Nov-2017,FastGPS,,23.9198,-166.4146,,,,,,,,,,
160381,160381,UT,20:02:16 14-Nov-2017,Argos,B,23.9272,-166.2870,4199,73610,239,100,,,,,,
160381,160381,UT,20:52:38 14-Nov-2017,Argos,B,23.9228,-166.3278,3441,224667,52,107,,,,,,
160381,160381,UT,21:47:23 14-Nov-2017,Argos,B,23.9551,-166.2940,3380,76994,148,93,,,,,,
160381,160381,UT,21:56:05.89 16-Nov-2017,FastGPS,,24.3557,-166.6941,,,,,,,,,,
160381,160381,UT,19:37:55 17-Nov-2017,Argos,B,24.2057,-166.5247,13254,103481,1697,77,,,,,,
160381,160381,UT,17:32:13 18-Nov-2017,Argos,1,23.9265,-166.2672,602,883,409,140,,,,,,
160381,160381,UT,17:41:16 18-Nov-2017,Argos,2,23.9234,-166.2623,305,461,201,43,,,,,,
160381,160381,UT,23:34:47.07 01-Dec-2017,FastGPS,,24.0547,-166.2475,,,,,,,,,,
160381,160381,UT,22:19:18 04-Dec-2017,Argos,B,24.1123,-166.3503,6464,122195,341,14,,,,,,
160381,160381,UT,08:08:16 09-Dec-2017,Argos,B,24.0196,-166.3658,6909,453721,105,74,,,,,,
160381,160381,UT,20:27:19 17-Jan-2018,Argos,2,23.9778,-166.5897,469,1047,209,111,,,,,,
