DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
160379,160379,0.500000,UT,,16:43:14 22-Aug-2017,16:43:37 22-Aug-2017,23,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,19:05:32 03-Sep-2017,19:05:56 03-Sep-2017,24,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,08:41:18 01-Oct-2017,08:41:44 01-Oct-2017,26,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,19:58:01 04-Oct-2017,19:58:27 04-Oct-2017,26,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,19:37:35 05-Oct-2017,19:38:02 05-Oct-2017,27,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,18:28:30 19-Oct-2017,18:28:58 19-Oct-2017,28,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,03:35:51 23-Oct-2017,03:36:19 23-Oct-2017,28,,,,CRC,,,,9950,3.225,,,27.85,2.5,,,,,,,,,,,,,63,100,,,,,,,,,255,1652,1085,
160379,160379,0.500000,UT,,04:54:35 02-Nov-2017,04:55:04 02-Nov-2017,29,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,17:03:43 04-Nov-2017,17:04:11 04-Nov-2017,28,,,,CRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160379,160379,0.500000,UT,,19:16:22 18-Nov-2017,19:16:52 18-Nov-2017,30,,,,CRC,,,,10525,3.275,,,26.20,4.0,,,,,,,,,,,,,70,100,,,,,,,,,255,1686,1102,
