DeployID,Ptt,Source,Instr,Start,End,Kind,Type,MinDepth,PercentTime,MinSec,MaxSec,MaxDives,Percent_20,Percent_33,Percent_40,Percent_60,Percent_66,Percent_80,Percent_100
PL2024_1018_22U3174,264721,Transmission,UT,12:00:00 22-May-2024,14:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,12:00:00 22-May-2024,14:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,12:00:00 22-May-2024,14:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,14:00:00 22-May-2024,16:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,14:00:00 22-May-2024,16:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,14:00:00 22-May-2024,16:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,16:00:00 22-May-2024,18:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,16:00:00 22-May-2024,18:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,16:00:00 22-May-2024,18:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,18:00:00 22-May-2024,20:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,18:00:00 22-May-2024,20:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,18:00:00 22-May-2024,20:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,20:00:00 22-May-2024,22:00:00 22-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,20:00:00 22-May-2024,22:00:00 22-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,20:00:00 22-May-2024,22:00:00 22-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,22:00:00 22-May-2024,00:00:00 23-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,22:00:00 22-May-2024,00:00:00 23-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,22:00:00 22-May-2024,00:00:00 23-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,00:00:00 23-May-2024,02:00:00 23-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,00:00:00 23-May-2024,02:00:00 23-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,00:00:00 23-May-2024,02:00:00 23-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,02:00:00 23-May-2024,04:00:00 23-May-2024,depth,shallow,0.000000,0.8,21,93,1,,1.000000,,,3.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,02:00:00 23-May-2024,04:00:00 23-May-2024,depth,deep,,5.5,361,433,1,48.000000,,65.000000,67.000000,,92.000000,92.000000
PL2024_1018_22U3174,264721,Transmission,UT,02:00:00 23-May-2024,04:00:00 23-May-2024,depth,dry,,93.7,6710,6782,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 23-May-2024,06:00:00 23-May-2024,depth,shallow,0.000000,20.5,1438,1510,26,,1.000000,,,3.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 23-May-2024,06:00:00 23-May-2024,depth,deep,,62.2,4443,4515,26,44.000000,,63.000000,68.000000,,81.000000,92.000000
PL2024_1018_22U3174,264721,Transmission,UT,04:00:00 23-May-2024,06:00:00 23-May-2024,depth,dry,,17.3,1210,1282,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 23-May-2024,08:00:00 23-May-2024,depth,shallow,0.000000,10.2,701,773,14,,1.000000,,,2.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 23-May-2024,08:00:00 23-May-2024,depth,deep,,30.7,2175,2247,14,45.000000,,60.000000,63.000000,,72.000000,91.000000
PL2024_1018_22U3174,264721,Transmission,UT,06:00:00 23-May-2024,08:00:00 23-May-2024,depth,dry,,59.1,4219,4291,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,08:00:00 23-May-2024,10:00:00 23-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,08:00:00 23-May-2024,10:00:00 23-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,08:00:00 23-May-2024,10:00:00 23-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,10:00:00 23-May-2024,12:00:00 23-May-2024,depth,shallow,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,10:00:00 23-May-2024,12:00:00 23-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,10:00:00 23-May-2024,12:00:00 23-May-2024,depth,dry,,100.0,7200,7200,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,12:00:00 23-May-2024,14:00:00 23-May-2024,depth,shallow,0.000000,0.2,1,50,0,,1.000000,,,1.000000,,1.000000
PL2024_1018_22U3174,264721,Transmission,UT,12:00:00 23-May-2024,14:00:00 23-May-2024,depth,deep,,0.0,0,0,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,12:00:00 23-May-2024,14:00:00 23-May-2024,depth,dry,,99.8,7150,7199,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,14:00:00 23-May-2024,16:00:00 23-May-2024,depth,shallow,0.000000,12.6,871,943,23,,1.000000,,,4.000000,,15.000000
PL2024_1018_22U3174,264721,Transmission,UT,14:00:00 23-May-2024,16:00:00 23-May-2024,depth,deep,,66.9,4783,4855,23,47.000000,,60.000000,77.000000,,91.000000,92.000000
PL2024_1018_22U3174,264721,Transmission,UT,14:00:00 23-May-2024,16:00:00 23-May-2024,depth,dry,,20.5,1440,1512,,,,,,,,
PL2024_1018_22U3174,264721,Transmission,UT,20:00:00 23-May-2024,22:00:00 23-May-2024,depth,shallow,0.000000,11.8,814,886,28,,1.000000,,,7.000000,,15.000000
