Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
HF2024_1015_22U3184,21-May-2024,12:42:10,2,1.000000,,,0,7,,,,,,,,,,,,,,,15,5,145,,,,24,19235,,,,14,24345,,,,15,31724,,,,30,20086,,,,23,14661,,,,13,22844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,13:00:55,1,1.000000,,,0,8,,,,,,,,,,,,,,,15,13,16586,,,,24,7945,,,,14,11672,,,,17,10712,,,,15,30816,,,,5,19407,,,,19,14432,,,,10,7213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,14:50:45,3,1.000000,,,0,8,,,,,,,,,,,,,,,15,32,11101,,,,21,31144,,,,17,11895,,,,22,31180,,,,2,28622,,,,14,29327,,,,10,25088,,,,19,21765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,16:35:26,1,1.000000,,,0,4,,,,,,,,,,,,,,,15,32,12793,,,,28,18896,,,,12,23966,,,,25,8073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,18:19:05,2,1.000000,,,0,6,,,,,,,,,,,,,,,15,12,8114,,,,28,6807,,,,29,8791,,,,11,30037,,,,25,1522,,,,1,7413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,20:09:21,5,1.000000,,,0,8,,,,,,,,,,,,,,,15,31,9301,,,,26,15824,,,,1,7441,,,,18,21312,,,,29,9400,,,,28,15015,,,,4,20270,,,,20,29535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,21-May-2024,23:00:01,3,1.000000,,,0,5,,,,,,,,,,,,,,,15,15,32632,,,,18,28478,,,,13,26790,,,,23,10222,,,,7,27856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,22-May-2024,00:43:02,2,1.000000,,,0,5,,,,,,,,,,,,,,,15,21,21326,,,,2,12059,,,,10,29351,,,,14,30487,,,,8,4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,22-May-2024,03:00:01,3,1.000000,,,0,8,,,,,,,,,,,,,,,15,14,28056,,,,2,32201,,,,21,22446,,,,3,17314,,,,22,900,,,,8,1189,,,,17,25598,,,,32,18335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF2024_1015_22U3184,22-May-2024,04:40:29,2,1.000000,,,0,8,,,,,,,,,,,,,,,15,31,18156,,,,2,32585,,,,28,6720,,,,3,16211,,,,21,9276,,,,12,9137,,,,4,22986,,,,17,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
